rank,prev_rank,name,league,off,def,spi
425,422,Sporting Gijón,Spanish Segunda Division,0.73,1.29,30.76
426,429,FC Trenkwalder Admira,Austrian T-Mobile Bundesliga,1.12,1.85,30.5
427,456,Portsmouth,English League One,0.99,1.68,30.36
428,389,Haugesund,Norwegian Tippeligaen,1.01,1.7,30.35
429,434,SV Mattersburg,Austrian T-Mobile Bundesliga,1.16,1.92,30.19
430,432,VfL Bochum,German 2. Bundesliga,1.1,1.84,30.12
431,438,Lyngby,Danish SAS-Ligaen,1.01,1.72,30.11
432,419,Livingston,Scottish Premiership,1.01,1.73,30.07
433,442,Larissa,Greek Super League,0.81,1.44,30.02
434,404,Motherwell,Scottish Premiership,0.93,1.61,29.98
435,439,SV Darmstadt 98,German 2. Bundesliga,0.94,1.63,29.97
436,431,Valenciennes,French Ligue 2,0.73,1.33,29.89
437,444,AD Alcorcon,Spanish Segunda Division,0.77,1.4,29.79
438,458,Cittadella,Italy Serie B,0.88,1.57,29.68
439,,Miami FC,United Soccer League,1.07,1.83,29.63
440,443,Vegalta Sendai,Japanese J League,0.88,1.57,29.56
441,436,IF Elfsborg,Swedish Allsvenskan,1.03,1.79,29.51
442,455,KV Oostende,Belgian Jupiler League,0.97,1.7,29.4
443,441,Lamia,Greek Super League,0.68,1.29,29.38
444,447,Esbjerg,Danish SAS-Ligaen,0.94,1.67,29.36
445,449,Sonderjyske,Danish SAS-Ligaen,1.04,1.81,29.26
446,451,Odd BK,Norwegian Tippeligaen,1.02,1.79,29.15
447,465,Fortuna Sittard,Dutch Eredivisie,1.21,2.06,29.13
448,428,Stabaek,Norwegian Tippeligaen,0.94,1.68,29.0
449,462,VVV Venlo,Dutch Eredivisie,1.12,1.95,28.66
450,445,Auxerre,French Ligue 2,0.7,1.36,28.62
451,454,Antalyaspor,Turkish Turkcell Super Lig,0.96,1.74,28.59
452,474,Grenoble,French Ligue 2,0.78,1.48,28.57
453,473,Newcastle Jets,Australian A-League,1.14,2.0,28.49
454,482,Kilmarnock,Scottish Premiership,0.83,1.56,28.47
455,461,Urawa Red Diamonds,Japanese J League,0.96,1.74,28.44
456,450,Thun,Swiss Raiffeisen Super League,1.09,1.93,28.4
457,472,Doncaster Rovers,English League One,0.87,1.63,28.37
458,453,Karlsruher SC,German 2. Bundesliga,1.03,1.85,28.32
459,435,Kristiansund BK,Norwegian Tippeligaen,1.0,1.82,28.27
460,440,Chievo Verona,Italy Serie B,0.84,1.59,28.22
461,464,Wellington Phoenix,Australian A-League,1.11,1.97,28.21
462,448,SuperSport United,South African ABSA Premier League,0.8,1.53,28.08
463,466,Nagoya Grampus Eight,Japanese J League,1.01,1.84,28.06
464,470,Melbourne Victory,Australian A-League,1.11,1.98,27.99
465,467,Erzgebirge Aue,German 2. Bundesliga,0.9,1.69,27.88
466,468,Racing Santander,Spanish Segunda Division,0.78,1.53,27.7
467,520,Orange County SC,United Soccer League,1.03,1.89,27.67
468,471,Ankaragucu,Turkish Turkcell Super Lig,0.94,1.76,27.67
469,460,Godoy Cruz,Argentina Primera Division,0.9,1.7,27.67
470,452,RKC,Dutch Eredivisie,1.11,2.0,27.63
471,457,Tampa Bay Rowdies,United Soccer League,0.99,1.84,27.55
472,486,FC Xanthi,Greek Super League,0.73,1.47,27.46
473,536,San Antonio FC,United Soccer League,1.14,2.06,27.39
474,479,Coventry City,English League One,0.84,1.64,27.39
475,446,Ipswich Town,English League One,0.87,1.68,27.35
476,476,Extremadura UD,Spanish Segunda Division,0.66,1.38,27.22
477,493,Western Sydney FC,Australian A-League,1.06,1.97,27.06
478,492,Empoli,Italy Serie B,0.89,1.73,26.91
479,478,Guizhou Renhe,Chinese Super League,0.94,1.82,26.81
480,480,Silkeborg,Danish SAS-Ligaen,1.08,2.02,26.73
481,488,Volos NFC,Greek Super League,0.8,1.63,26.5
482,525,Indy Eleven,United Soccer League,0.86,1.72,26.36
483,485,Shimizu S-Pulse,Japanese J League,1.07,2.03,26.23
484,410,Nashville SC,Major League Soccer,0.86,1.74,26.12
485,415,Louisville City FC,United Soccer League,0.98,1.92,26.08
486,459,Waasland-Beveren,Belgian Jupiler League,0.93,1.84,26.06
487,489,St. Pölten,Austrian T-Mobile Bundesliga,0.96,1.89,26.06
488,483,Valerenga,Norwegian Tippeligaen,0.9,1.82,25.91
489,487,Cercle Brugge,Belgian Jupiler League,0.95,1.89,25.85
490,477,Stromsgodset,Norwegian Tippeligaen,1.02,1.99,25.85
491,490,Dynamo Dresden,German 2. Bundesliga,0.81,1.69,25.82
492,500,SV Wehen Wiesbaden,German 2. Bundesliga,0.88,1.79,25.77
493,484,Spezia,Italy Serie B,0.73,1.56,25.74
494,502,SK Brann,Norwegian Tippeligaen,0.81,1.69,25.72
495,495,Panetolikos,Greek Super League,0.76,1.63,25.46
496,481,Western United,Australian A-League,0.95,1.92,25.32
497,497,US Pescara,Italy Serie B,0.83,1.75,25.21
498,494,Kayserispor,Turkish Turkcell Super Lig,1.06,2.1,25.15
499,475,Sochaux,French Ligue 2,0.67,1.52,25.13
500,503,Salernitana,Italy Serie B,0.81,1.72,25.07
501,514,Perugia,Italy Serie B,0.81,1.73,25.06
502,496,Oita Trinita,Japanese J League,0.65,1.48,25.06
503,510,Rodez,French Ligue 2,0.8,1.73,24.89
504,501,Veracruz,Mexican Primera Division Torneo Apertura,0.87,1.83,24.89
505,491,Albacete,Spanish Segunda Division,0.65,1.5,24.81
506,498,Lugo,Spanish Segunda Division,0.71,1.61,24.57
507,504,Bloem Celtic,South African ABSA Premier League,0.87,1.86,24.52
508,505,WSG Swarovski Wattens,Austrian T-Mobile Bundesliga,1.04,2.11,24.49
509,506,AC Horsens,Danish SAS-Ligaen,0.78,1.72,24.48
510,513,Le Mans,French Ligue 2,0.87,1.88,24.27
511,527,Chambly Thelle FC,French Ligue 2,0.69,1.61,24.19
512,509,Vancouver Whitecaps,Major League Soccer,0.93,1.98,24.08
513,546,Sacramento Republic FC,United Soccer League,0.89,1.91,24.07
514,512,Black Aces,South African ABSA Premier League,0.78,1.75,24.07
515,511,Sagan Tosu,Japanese J League,0.74,1.69,24.05
516,508,Virtus Entella,Italy Serie B,0.75,1.71,23.94
517,469,Reno 1868 FC,United Soccer League,0.94,2.03,23.59
518,518,Burton Albion,English League One,0.86,1.91,23.54
519,519,Orebro SK,Swedish Allsvenskan,0.9,2.0,23.1
520,524,Cosenza,Italy Serie B,0.68,1.66,23.02
521,550,Austin Bold FC,United Soccer League,0.88,1.97,23.02
522,531,Fleetwood Town,English League One,0.77,1.81,22.92
523,522,Hearts,Scottish Premiership,0.83,1.9,22.91
524,523,Sarpsborg,Norwegian Tippeligaen,0.75,1.78,22.79
525,409,Pittsburgh Riverhounds,United Soccer League,0.78,1.83,22.77
526,530,IK Sirius,Swedish Allsvenskan,0.84,1.93,22.74
527,386,Real Monarchs SLC,United Soccer League,0.96,2.13,22.51
528,526,Brisbane Roar,Australian A-League,0.92,2.07,22.48
529,529,Pordenone Calcio,Italy Serie B,0.75,1.82,22.32
530,528,Shonan Bellmare,Japanese J League,0.86,1.99,22.29
531,521,Cremonese,Italy Serie B,0.64,1.65,22.24
532,533,Paris FC,French Ligue 2,0.66,1.68,22.19
533,515,Chateauroux,French Ligue 2,0.64,1.65,22.18
534,556,Helsingborgs IF,Swedish Allsvenskan,0.76,1.85,22.03
535,516,Orléans,French Ligue 2,0.75,1.84,21.98
536,543,F.B.C Unione Venezia,Italy Serie B,0.62,1.62,21.94
537,541,Östersunds FK,Swedish Allsvenskan,0.81,1.95,21.77
538,542,Niort,French Ligue 2,0.75,1.85,21.76
539,535,FC Cincinnati,Major League Soccer,0.85,2.03,21.63
540,517,North Carolina FC,United Soccer League,0.85,2.05,21.43
541,539,Gillingham,English League One,0.59,1.65,20.93
542,548,Ascoli,Italy Serie B,0.7,1.84,20.91
543,544,Swindon Town,English League Two,0.82,2.03,20.89
544,540,Blackpool,English League One,0.68,1.8,20.85
545,547,St Mirren,Scottish Premiership,0.64,1.74,20.74
546,534,Lincoln City,English League One,0.69,1.84,20.71
547,538,Panionios,Greek Super League,0.61,1.7,20.6
548,,Aalesund,Norwegian Tippeligaen,0.73,1.92,20.51
549,537,Mjondalen,Norwegian Tippeligaen,0.79,2.01,20.46
550,545,Jubilo Iwata,Japanese J League,0.61,1.73,20.35
551,575,Portland Timbers 2,United Soccer League,0.96,2.3,20.3
552,559,Milton Keynes Dons,English League One,0.68,1.86,20.19
553,560,Ross County,Scottish Premiership,0.75,2.01,19.65
554,566,St Johnstone,Scottish Premiership,0.64,1.82,19.6
555,567,Pisa,Italy Serie B,0.71,1.97,19.42
556,558,Plymouth Argyle,English League Two,0.7,1.95,19.36
557,555,Maritzburg Utd,South African ABSA Premier League,0.45,1.5,19.33
558,591,Saint Louis FC,United Soccer League,0.68,1.93,19.16
559,553,Livorno,Italy Serie B,0.66,1.92,18.9
560,,Mjallby,Swedish Allsvenskan,0.66,1.93,18.7
561,562,Hamilton Academical,Scottish Premiership,0.74,2.07,18.67
562,595,Oklahoma City Energy FC,United Soccer League,0.74,2.08,18.63
563,563,Crewe Alexandra,English League Two,0.78,2.15,18.51
